2025-11-25 21:50:13,159 | DEBUG | root | EnvInputPolicy is released
2025-11-25 21:50:13,471 | DEBUG | root | EnvInputPolicy is released
2025-11-25 21:50:13,751 | DEBUG | root | EnvInputPolicy is released
2025-11-25 21:50:14,448 | DEBUG | root | IDMPolicy is released
2025-11-25 21:50:15,275 | DEBUG | root | IDMPolicy is released
2025-11-25 21:50:15,976 | DEBUG | root | IDMPolicy is released
2025-11-25 21:50:17,935 | DEBUG | root | EnvInputPolicy is released
2025-11-25 21:50:18,326 | DEBUG | root | EnvInputPolicy is released
2025-11-25 21:50:18,793 | DEBUG | root | IDMPolicy is released
2025-11-25 21:50:20,133 | DEBUG | root | IDMPolicy is released
2025-11-25 21:50:22,659 | DEBUG | root | EnvInputPolicy is released
2025-11-25 21:50:25,467 | DEBUG | root | IDMPolicy is released
2025-11-25 21:50:26,382 | DEBUG | root | EnvInputPolicy is released
2025-11-25 21:50:27,331 | DEBUG | root | EnvInputPolicy is released
2025-11-25 21:50:34,128 | DEBUG | root | EnvInputPolicy is released
2025-11-25 21:50:35,104 | DEBUG | root | EnvInputPolicy is released
2025-11-25 21:50:37,692 | DEBUG | root | IDMPolicy is released
2025-11-25 21:50:38,026 | DEBUG | root | EnvInputPolicy is released
2025-11-25 21:50:38,768 | DEBUG | root | EnvInputPolicy is released
2025-11-25 21:50:39,989 | DEBUG | root | EnvInputPolicy is released
2025-11-25 21:50:41,736 | DEBUG | root | EnvInputPolicy is released
2025-11-25 21:50:42,290 | DEBUG | root | EnvInputPolicy is released
2025-11-25 21:50:48,923 | DEBUG | root | EnvInputPolicy is released
2025-11-25 21:50:49,697 | DEBUG | root | EnvInputPolicy is released
2025-11-25 21:50:54,163 | DEBUG | root | Roundabout, ID:None is destroyed
2025-11-25 21:50:54,163 | DEBUG | root | StdTInterSection, ID:None is destroyed
2025-11-25 21:50:54,163 | DEBUG | root | Curve, ID:None is destroyed
2025-11-25 21:50:54,163 | DEBUG | root | StdInterSection, ID:None is destroyed
2025-11-25 21:50:54,163 | DEBUG | root | Roundabout, ID:None is destroyed
2025-11-25 21:50:54,163 | DEBUG | root | StdTInterSection, ID:None is destroyed
